sku,product_name,slug,role,file_name,folder,url,file_type,width,height,file_size_bytes,file_id,status
RF-BAL-TRK-003,ResoFlex Men Athletic Balaclava Tracksuit,rf-bal-trk-003,lifestyle,lifestyle.png,resoflex-bal-tracksuit,https://ik.imagekit.io/resofit808/assets/products/resoflex-bal-tracksuit/lifestyle.png,PNG,469,384,298643,,verified
RF-BAL-TRK-003,ResoFlex Men Athletic Balaclava Tracksuit,rf-bal-trk-003,detail,detail.png,resoflex-bal-tracksuit,https://ik.imagekit.io/resofit808/assets/products/resoflex-bal-tracksuit/detail.png,PNG,469,384,340209,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,hero,hero.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/hero.png,PNG,469,384,192277,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,gallery_01,gallery-01.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/gallery-01.png,PNG,469,384,194764,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,gallery_02,gallery-02.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/gallery-02.png,PNG,469,384,266011,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,gallery_03,gallery-03.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/gallery-03.png,PNG,469,384,231639,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,lifestyle,lifestyle.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/lifestyle.png,PNG,469,384,330845,,verified
RF-BOX-001,ResoFlex Combat Training Heavy Boxing Bag,rf-box-001,detail,detail.png,resoflex-boxing-bag,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-bag/detail.png,PNG,469,384,301072,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,hero,hero.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/hero.png,PNG,469,384,273226,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,gallery_01,gallery-01.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/gallery-01.png,PNG,469,384,248491,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,gallery_02,gallery-02.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/gallery-02.png,PNG,469,384,213058,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,gallery_03,gallery-03.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/gallery-03.png,PNG,469,384,298031,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,lifestyle,lifestyle.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/lifestyle.png,PNG,469,384,315412,,verified
RF-BOX-002,ResoFlex Pro Combat Striking Boxing Gloves,rf-box-002,detail,detail.png,resoflex-boxing-gloves,https://ik.imagekit.io/resofit808/assets/products/resoflex-boxing-gloves/detail.png,PNG,469,384,287067,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,hero,hero.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/hero.png,PNG,469,384,275057,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,gallery_01,gallery-01.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/gallery-01.png,PNG,469,384,290240,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,gallery_02,gallery-02.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/gallery-02.png,PNG,469,384,260948,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,gallery_03,gallery-03.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/gallery-03.png,PNG,469,384,277489,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,lifestyle,lifestyle.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/lifestyle.png,PNG,469,384,322612,,verified
RF-CHR-50K-008,ResoFlex 50KG Chrome Dumbbell and Barbell Home Gym Set,rf-chr-50k-008,detail,detail.png,resoflex-chr-50k,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-50k/detail.png,PNG,469,384,299026,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,hero,hero.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/hero.png,PNG,512,512,435864,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,gallery_01,gallery-01.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/gallery-01.png,PNG,512,512,477300,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,gallery_02,gallery-02.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/gallery-02.png,PNG,512,512,458864,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,gallery_03,gallery-03.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/gallery-03.png,PNG,512,512,490998,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,lifestyle,lifestyle.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/lifestyle.png,PNG,512,512,473850,,verified
RF-CHR-SET-009,ResoFlex Essentials Chrome Lifting Set,rf-chr-set-009,detail,detail.png,resoflex-chr-set,https://ik.imagekit.io/resofit808/assets/products/resoflex-chr-set/detail.png,PNG,512,512,473681,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,hero,hero.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/hero.png,PNG,469,384,254579,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,gallery_01,gallery-01.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/gallery-01.png,PNG,469,384,222255,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,gallery_02,gallery-02.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/gallery-02.png,PNG,469,384,215174,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,gallery_03,gallery-03.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/gallery-03.png,PNG,469,384,323632,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,lifestyle,lifestyle.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/lifestyle.png,PNG,469,384,324608,,verified
RF-CRV-BLK-01,ResoFlex Women Curvy Collection - Obsidian Black,rf-crv-blk-01,detail,detail.png,resoflex-curvy-obsidian,https://ik.imagekit.io/resofit808/assets/products/resoflex-curvy-obsidian/detail.png,PNG,469,384,330549,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,hero,hero.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/hero.png,PNG,469,384,300026,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,gallery_01,gallery-01.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/gallery-01.png,PNG,469,384,297512,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,gallery_02,gallery-02.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/gallery-02.png,PNG,469,384,247439,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,gallery_03,gallery-03.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/gallery-03.png,PNG,469,384,278502,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,lifestyle,lifestyle.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/lifestyle.png,PNG,469,384,308637,,verified
RF-FIT-001,ResoFlex Mobility and Strength Resistance Bands Set,rf-fit-001,detail,detail.png,resoflex-fit-bands,https://ik.imagekit.io/resofit808/assets/products/resoflex-fit-bands/detail.png,PNG,469,384,295289,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,hero,hero.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/hero.png,PNG,469,384,224428,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,gallery_01,gallery-01.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/gallery-01.png,PNG,469,384,243830,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,gallery_02,gallery-02.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/gallery-02.png,PNG,469,384,248316,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,gallery_03,gallery-03.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/gallery-03.png,PNG,469,384,310119,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,lifestyle,lifestyle.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/lifestyle.png,PNG,469,384,242301,,verified
RF-FTM-001,ResoFlex Commercial Functional Trainer,rf-ftm-001,detail,detail.png,resoflex-ftm-trainer,https://ik.imagekit.io/resofit808/assets/products/resoflex-ftm-trainer/detail.png,PNG,469,384,193782,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,hero,hero.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/hero.png,PNG,469,384,301795,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,gallery_01,gallery-01.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/gallery-01.png,PNG,469,384,271085,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,gallery_02,gallery-02.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/gallery-02.png,PNG,469,384,270267,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,gallery_03,gallery-03.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/gallery-03.png,PNG,469,384,319452,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,lifestyle,lifestyle.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/lifestyle.png,PNG,469,384,327785,,verified
RF-GLV-MECH-004,ResoFlex Mechanical Padded Gym Weightlifting Gloves,rf-glv-mech-004,detail,detail.png,resoflex-glv-mech,https://ik.imagekit.io/resofit808/assets/products/resoflex-glv-mech/detail.png,PNG,469,384,331496,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,hero,hero.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/hero.png,PNG,469,384,265861,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,gallery_01,gallery-01.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/gallery-01.png,PNG,469,384,250789,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,gallery_02,gallery-02.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/gallery-02.png,PNG,469,384,235278,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,gallery_03,gallery-03.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/gallery-03.png,PNG,469,384,269446,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,lifestyle,lifestyle.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/lifestyle.png,PNG,469,384,324659,,verified
RF-HEX-DMB-007,ResoFlex Studio Rubber Hex Dumbbells,rf-hex-dmb-007,detail,detail.png,resoflex-hex-dumbbells,https://ik.imagekit.io/resofit808/assets/products/resoflex-hex-dumbbells/detail.png,PNG,469,384,292038,,verified
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,hero,hero.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/hero.png,PNG,469,384,246699,,verified
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,gallery_01,gallery-01.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/gallery-01.png,PNG,469,384,208260,,verified
